20260610T,50799.99,50799.99,50799.99,50799.99,0
20260611T,49893.83,49893.83,49893.83,49893.83,0
20260612T,50812.81,50812.81,50812.81,50812.81,0
20260615T,51196.27,51196.27,51196.27,51196.27,0
20260616T,51158.81,51158.81,51158.81,51158.81,0
20260617T,51955.79,51955.79,51955.79,51955.79,0
20260618T,51462.63,51462.63,51462.63,51462.63,0
20260622T,51008.68,51008.68,51008.68,51008.68,0
20260623T,51704.71,51704.71,51704.71,51704.71,0
20260624T,51604.83,51604.83,51604.83,51604.83,0
20260625T,41197.53,41197.53,41197.53,41197.53,0
20260626T,51894.62,51894.62,51894.62,51894.62,0
