20260608T,28751.38,28751.38,28751.38,28751.38,0
20260609T,28751.75,28751.75,28751.75,28751.75,0
20260610T,28338.88,28338.88,28338.88,28338.88,0
20260611T,28356.38,28356.38,28356.38,28356.38,0
20260612T,28743.2,28743.2,28743.2,28743.2,0
20260615T,28923.54,28923.54,28923.54,28923.54,0
20260616T,28281.62,28281.62,28281.62,28281.62,0
20260617T,29357.98,29357.98,29357.98,29357.98,0
20260618T,29321.47,29321.47,29321.47,29321.47,0
20260622T,29393.67,29393.67,29393.67,29393.67,0
20260623T,29485.54,29485.54,29485.54,29485.54,0
20260624T,29608.4,29608.4,29608.4,29608.4,0
20260625T,29523.52,29523.52,29523.52,29523.52,0
20260626T,29465.8,29465.8,29465.8,29465.8,0
