20260608T,28751.38,28751.38,28751.38,28751.38,0
20260609T,29737.53,29737.53,29737.53,29737.53,0
20260610T,28749.59,28749.59,28749.59,28749.59,0
20260611T,28479.67,28479.67,28479.67,28479.67,0
20260612T,29441.25,29441.25,29441.25,29441.25,0
20260615T,29580.89,29580.89,29580.89,29580.89,0
20260616T,29596.12,29596.12,29596.12,29596.12,0
20260617T,29932.82,29932.82,29932.82,29932.82,0
20260618T,29670.54,29670.54,29670.54,29670.54,0
20260622T,28777.02,28777.02,28777.02,28777.02,0
20260623T,30308.01,30308.01,30308.01,30308.01,0
20260624T,29156.05,29156.05,29156.05,29156.05,0
20260625T,29194.57,29194.57,29194.57,29194.57,0
20260626T,29424.7,29424.7,29424.7,29424.7,0
