20260610T,27928.17,27928.17,27928.17,27928.17,0
20260611T,28356.38,28356.38,28356.38,28356.38,0
20260612T,29400.19,29400.19,29400.19,29400.19,0
20260615T,29621.98,29621.98,29621.98,29621.98,0
20260616T,29476.62,29476.62,29476.62,29476.62,0
20260617T,29768.58,29768.58,29768.58,29768.58,0
20260618T,29650.0,29650.0,29650.0,29650.0,0
20260622T,29393.67,29393.67,29393.67,29393.67,0
20260623T,30328.57,30328.57,30328.57,30328.57,0
20260624T,28991.56,28991.56,28991.56,28991.56,0
20260625T,29153.45,29153.45,29153.45,29153.45,0
20260626T,29383.61,29383.61,29383.61,29383.61,0
