20260610T,28749.59,28749.59,28749.59,28749.59,0
20260611T,28479.67,28479.67,28479.67,28479.67,0
20260612T,29441.25,29441.25,29441.25,29441.25,0
20260615T,29621.98,29621.98,29621.98,29621.98,0
20260616T,29596.12,29596.12,29596.12,29596.12,0
20260617T,29768.58,29768.58,29768.58,29768.58,0
20260618T,29608.94,29608.94,29608.94,29608.94,0
20260622T,30092.54,30092.54,30092.54,30092.54,0
20260623T,30308.01,30308.01,30308.01,30308.01,0
20260624T,29320.54,29320.54,29320.54,29320.54,0
20260625T,29194.57,29194.57,29194.57,29194.57,0
20260626T,29424.7,29424.7,29424.7,29424.7,0
