20260610T,29039.23,29039.23,29039.23,29039.23,0
20260611T,28503.03,28503.03,28503.03,28503.03,0
20260612T,29452.64,29452.64,29452.64,29452.64,0
20260615T,29641.93,29641.93,29641.93,29641.93,0
20260616T,29632.79,29632.79,29632.79,29632.79,0
20260617T,29961.47,29961.47,29961.47,29961.47,0
20260618T,29673.46,29673.46,29673.46,29673.46,0
20260622T,30393.39,30393.39,30393.39,30393.39,0
20260623T,30344.45,30344.45,30344.45,30344.45,0
20260624T,29342.07,29342.07,29342.07,29342.07,0
20260625T,29218.28,29218.28,29218.28,29218.28,0
20260626T,29446.66,29446.66,29446.66,29446.66,0
