20260610T,4614.54,4614.54,4614.54,4614.54,0
20260611T,4157.7,4157.7,4157.7,4157.7,0
20260612T,4250.41,4250.41,4250.41,4250.41,0
20260615T,4406.39,4406.39,4406.39,4406.39,0
20260616T,3845.89,3845.89,3845.89,3845.89,0
20260617T,4364.28,4364.28,4364.28,4364.28,0
20260618T,4278.8,4278.8,4278.8,4278.8,0
20260622T,4484.51,4484.51,4484.51,4484.51,0
20260623T,4196.72,4196.72,4196.72,4196.72,0
20260624T,4061.21,4061.21,4061.21,4061.21,0
20260625T,4127.64,4127.64,4127.64,4127.64,0
20260626T,4090.13,4090.13,4090.13,4090.13,0
