20260610T,29571.0,29571.0,29571.0,29571.0,0
20260611T,28520.77,28520.77,28520.77,28520.77,0
20260612T,29482.31,29482.31,29482.31,29482.31,0
20260615T,29786.32,29786.32,29786.32,29786.32,0
20260616T,29635.95,29635.95,29635.95,29635.95,0
20260617T,29973.88,29973.88,29973.88,29973.88,0
20260618T,29691.07,29691.07,29691.07,29691.07,0
20260622T,30832.52,30832.52,30832.52,30832.52,0
20260623T,30349.14,30349.14,30349.14,30349.14,0
20260624T,29361.66,29361.66,29361.66,29361.66,0
20260625T,29235.69,29235.69,29235.69,29235.69,0
20260626T,29506.9,29506.9,29506.9,29506.9,0
