20260608T,49402.15,49402.15,49402.15,49402.15,0
20260609T,49610.71,49610.71,49610.71,49610.71,0
20260610T,49402.74,49402.74,49402.74,49402.74,0
20260611T,49394.9,49394.9,49394.9,49394.9,0
20260612T,49914.35,49914.35,49914.35,49914.35,0
20260615T,49998.7,49998.7,49998.7,49998.7,0
20260616T,49874.9,49874.9,49874.9,49874.9,0
20260617T,50559.67,50559.67,50559.67,50559.67,0
20260618T,50864.23,50864.23,50864.23,50864.23,0
20260622T,50608.61,50608.61,50608.61,50608.61,0
20260623T,50904.64,50904.64,50904.64,50904.64,0
20260624T,51004.78,51004.78,51004.78,51004.78,0
20260625T,50996.95,50996.95,50996.95,50996.95,0
20260626T,50994.72,50994.72,50994.72,50994.72,0
