20260608T,51897.21,51897.21,51897.21,51897.21,0
20260609T,51207.83,51207.83,51207.83,51207.83,0
20260610T,51897.82,51897.82,51897.82,51897.82,0
20260611T,49993.62,49993.62,49993.62,49993.62,0
20260612T,50912.64,50912.64,50912.64,50912.64,0
20260615T,51395.87,51395.87,51395.87,51395.87,0
20260616T,51356.33,51356.33,51356.33,51356.33,0
20260617T,58836.7,58836.7,58836.7,58836.7,0
20260618T,58842.93,58842.93,58842.93,58842.93,0
20260622T,53009.02,53009.02,53009.02,53009.02,0
20260623T,52004.74,52004.74,52004.74,52004.74,0
20260624T,51704.84,51704.84,51704.84,51704.84,0
20260625T,51896.89,51896.89,51896.89,51896.89,0
20260626T,51994.61,51994.61,51994.61,51994.61,0
