20260610T,4394.8,4394.8,4394.8,4394.8,0
20260611T,3938.88,3938.88,3938.88,3938.88,0
20260612T,4206.81,4206.81,4206.81,4206.81,0
20260615T,4361.2,4361.2,4361.2,4361.2,0
20260616T,4398.52,4398.52,4398.52,4398.52,0
20260617T,4320.53,4320.53,4320.53,4320.53,0
20260618T,4234.8,4234.8,4234.8,4234.8,0
20260622T,4375.13,4375.13,4375.13,4375.13,0
20260623T,4132.15,4132.15,4132.15,4132.15,0
20260624T,4050.46,4050.46,4050.46,4050.46,0
20260625T,3962.54,3962.54,3962.54,3962.54,0
20260626T,4013.16,4013.16,4013.16,4013.16,0
