20260610T,47905.68,47905.68,47905.68,47905.68,0
20260611T,49794.05,49794.05,49794.05,49794.05,0
20260612T,40031.31,40031.31,40031.31,40031.31,0
20260615T,41116.7,41116.7,41116.7,41116.7,0
20260616T,40690.02,40690.02,40690.02,40690.02,0
20260617T,41085.96,41085.96,41085.96,41085.96,0
20260618T,51362.9,51362.9,51362.9,51362.9,0
20260622T,48008.17,48008.17,48008.17,48008.17,0
20260623T,51504.69,51504.69,51504.69,51504.69,0
20260624T,51604.83,51604.83,51604.83,51604.83,0
20260625T,51496.92,51496.92,51496.92,51496.92,0
20260626T,51694.64,51694.64,51694.64,51694.64,0
