20260608T,4375.96,4375.96,4375.96,4375.96,0
20260609T,4325.3,4325.3,4325.3,4325.3,0
20260610T,3955.32,3955.32,3955.32,3955.32,0
20260611T,3829.46,3829.46,3829.46,3829.46,0
20260612T,4195.91,4195.91,4195.91,4195.91,0
20260615T,4349.9,4349.9,4349.9,4349.9,0
20260616T,4342.13,4342.13,4342.13,4342.13,0
20260617T,4347.88,4347.88,4347.88,4347.88,0
20260618T,4267.8,4267.8,4267.8,4267.8,0
20260622T,3937.61,3937.61,3937.61,3937.61,0
20260623T,4089.11,4089.11,4089.11,4089.11,0
20260624T,4028.97,4028.97,4028.97,4028.97,0
20260625T,4017.57,4017.57,4017.57,4017.57,0
20260626T,3958.19,3958.19,3958.19,3958.19,0
