20260608T,4419.72,4419.72,4419.72,4419.72,0
20260609T,4391.0,4391.0,4391.0,4391.0,0
20260610T,4394.8,4394.8,4394.8,4394.8,0
20260611T,4376.53,4376.53,4376.53,4376.53,0
20260612T,4413.88,4413.88,4413.88,4413.88,0
20260615T,4519.38,4519.38,4519.38,4519.38,0
20260616T,4511.31,4511.31,4511.31,4511.31,0
20260617T,4375.22,4375.22,4375.22,4375.22,0
20260618T,4399.79,4399.79,4399.79,4399.79,0
20260622T,4375.13,4375.13,4375.13,4375.13,0
20260623T,4304.32,4304.32,4304.32,4304.32,0
20260624T,4297.57,4297.57,4297.57,4297.57,0
20260625T,4402.82,4402.82,4402.82,4402.82,0
20260626T,4397.99,4397.99,4397.99,4397.99,0
