20260610T,51398.81,51398.81,51398.81,51398.81,0
20260611T,49993.62,49993.62,49993.62,49993.62,0
20260612T,50912.64,50912.64,50912.64,50912.64,0
20260615T,51695.26,51695.26,51695.26,51695.26,0
20260616T,51257.57,51257.57,51257.57,51257.57,0
20260617T,52155.24,52155.24,52155.24,52155.24,0
20260618T,51761.83,51761.83,51761.83,51761.83,0
20260622T,52508.93,52508.93,52508.93,52508.93,0
20260623T,52204.75,52204.75,52204.75,52204.75,0
20260624T,52104.88,52104.88,52104.88,52104.88,0
20260625T,58996.47,58996.47,58996.47,58996.47,0
20260626T,58993.89,58993.89,58993.89,58993.89,0
