20260608T,29554.48,29554.48,29554.48,29554.48,0
20260609T,29751.87,29751.87,29751.87,29751.87,0
20260610T,30055.75,30055.75,30055.75,30055.75,0
20260611T,28503.46,28503.46,28503.46,28503.46,0
20260612T,29452.49,29452.49,29452.49,29452.49,0
20260615T,29641.1,29641.1,29641.1,29641.1,0
20260616T,29630.29,29630.29,29630.29,29630.29,0
20260617T,29961.49,29961.49,29961.49,29961.49,0
20260618T,29672.26,29672.26,29672.26,29672.26,0
20260622T,30618.09,30618.09,30618.09,30618.09,0
20260623T,30346.29,30346.29,30346.29,30346.29,0
20260624T,29342.54,29342.54,29342.54,29342.54,0
20260625T,29224.82,29224.82,29224.82,29224.82,0
20260626T,29446.47,29446.47,29446.47,29446.47,0
