20260608T,29533.41,29533.41,29533.41,29533.41,0
20260609T,29746.97,29746.97,29746.97,29746.97,0
20260610T,28722.48,28722.48,28722.48,28722.48,0
20260611T,28508.03,28508.03,28508.03,28508.03,0
20260612T,29446.18,29446.18,29446.18,29446.18,0
20260615T,29635.95,29635.95,29635.95,29635.95,0
20260616T,29635.95,29635.95,29635.95,29635.95,0
20260617T,29968.13,29968.13,29968.13,29968.13,0
20260618T,29670.95,29670.95,29670.95,29670.95,0
20260622T,30301.79,30301.79,30301.79,30301.79,0
20260623T,30347.08,30347.08,30347.08,30347.08,0
20260624T,29347.27,29347.27,29347.27,29347.27,0
20260625T,29220.06,29220.06,29220.06,29220.06,0
20260626T,29440.32,29440.32,29440.32,29440.32,0
