20260610T,51398.81,51398.81,51398.81,51398.81,0
20260611T,58874.72,58874.72,58874.72,58874.72,0
20260612T,58898.94,58898.94,58898.94,58898.94,0
20260615T,51296.07,51296.07,51296.07,51296.07,0
20260616T,51257.57,51257.57,51257.57,51257.57,0
20260617T,52055.52,52055.52,52055.52,52055.52,0
20260618T,51861.57,51861.57,51861.57,51861.57,0
20260622T,53509.1,53509.1,53509.1,53509.1,0
20260623T,51754.71,51754.71,51754.71,51754.71,0
20260624T,51754.85,51754.85,51754.85,51754.85,0
20260625T,51996.89,51996.89,51996.89,51996.89,0
20260626T,52094.6,52094.6,52094.6,52094.6,0
