20260608T,4361.3,4361.3,4361.3,4361.3,0
20260609T,4357.6,4357.6,4357.6,4357.6,0
20260610T,4158.8,4158.8,4158.8,4158.8,0
20260611T,4098.4,4098.4,4098.4,4098.4,0
20260612T,4210.3,4210.3,4210.3,4210.3,0
20260615T,4367.3,4367.3,4367.3,4367.3,0
20260616T,4359.5,4359.5,4359.5,4359.5,0
20260617T,4349.3,4349.3,4349.3,4349.3,0
20260618T,4274.4,4274.4,4274.4,4274.4,0
20260622T,4198.7,4198.7,4198.7,4198.7,0
20260623T,4138.5,4138.5,4138.5,4138.5,0
20260624T,4053.9,4053.9,4053.9,4053.9,0
20260625T,4027.7,4027.7,4027.7,4027.7,0
20260626T,4062.2,4062.2,4062.2,4062.2,0
