20260610T,4175.06,4175.06,4175.06,4175.06,0
20260611T,4048.29,4048.29,4048.29,4048.29,0
20260612T,4032.44,4032.44,4032.44,4032.44,0
20260615T,4180.42,4180.42,4180.42,4180.42,0
20260616T,4342.13,4342.13,4342.13,4342.13,0
20260617T,4320.53,4320.53,4320.53,4320.53,0
20260618T,4234.8,4234.8,4234.8,4234.8,0
20260622T,4101.68,4101.68,4101.68,4101.68,0
20260623T,4132.15,4132.15,4132.15,4132.15,0
20260624T,4050.46,4050.46,4050.46,4050.46,0
20260625T,4017.57,4017.57,4017.57,4017.57,0
20260626T,4057.14,4057.14,4057.14,4057.14,0
